AN_TITLE,AN_CONTENT,AN_TYPE,AN_EDITOR,AN_DATE
流浪狗入侵 花蓮婦幼親創園區架驅狗器,老婆說：「老公，街上要是有人跟我搭訕，叫我美女，我該怎麼辦？」老公：「那還用問？當然趕緊扶他過馬路 ! 他一定是瞎子啦！」,1,王大明,2022-04-29
台灣之心下鄉服務 免費犬貓絕育 南區一天完成近百隻,媽媽說：「你看你的房間，跟豬窩一樣亂，還不趕快打掃。」兒子答：「看過豬會打掃的嗎？都是養豬的人打掃。 」,1,王小美,2022-04-30
犬貓絕育團隊將抵屏東 絕育資源帶進偏鄉,兒子跟父親說 : 「爸爸，我校成立樂隊，我想去參加，樂器要自己帶。」父親盯了兒子半天，遞過來一根筷子：「孩子，我們家窮，你能不能爭取去當指揮？」,1,朱八戒,2022-05-01
駐紮馬祖西莒1個月結紮15隻浪母犬　1年後成果志工振奮,一大學生在宿舍拿鏡子照自己，看了半天，突然說：「我好帥啊！同間宿舍的房友冷答：「媽的！這種人太狠了，連自己都騙。」,1,張瑜燒,2022-05-02
國家森林遊樂區實施TNvR惹議 零撲殺、收容量能不足下 專家看法略同,辦公室有兩個女子吵架，經理忍無可忍：「妳們吵什麼？說原因！」兩個女子一聽，又爭先恐後各執一詞，誰也不讓誰…。「夠了！」經理大吼一聲：「醜的先講！」頓時世界安靜！勸架也要靠智慧！,1,傅心翰,2022-05-03
動物保護生命教育,3歲小女孩不聽話。她媽媽說：「再不聽話把你扔出去，再撿一個回來。」小女孩沈默一會兒後，低聲說：「你撿回來的小孩也是不會聽話的，因為，也是他媽媽不要的！」,2,朱八戒,2022-05-04
動物保護生命教育,一天，一個非常富有的闊少爺在公路上超速，被一個女警察發現。那位闊少爺很不願意地把車停了在一邊，不耐煩的說：「你知不知道我的爸爸是誰？」,2,王小美,2022-05-05
關懷生命愛護動物課程,爸爸教我不要到那三流的歌舞團，去看下流的歌舞表演。他說：如果你不聽爸爸的話，到那種地方去，你會看到不該看到的東西。,2,王大明,2022-05-06
遊蕩犬族群管理+犬隻tnvr實務,先生回家看到老婆與人偷情，老婆先發制人道：「你半夜四點才回來，去那兒了？」老公怒道：「這個男人是誰？」太太說：「你不要轉移話題。」,2,王小美,2022-05-07
動物保護生命教育,在太太的生日宴會上，丈夫當眾把一顆金光閃爍的寶石贈給了他的夫人。一位朋友對他說：「瞧您夫人多高興啊！如果你送她一輛奔馳汽車，不是更實惠嗎？」,2,張瑜燒,2022-05-08
